"","shipmode","Segment","Region","City","Total_sales","Total_profit","Total_Disc"
"43","First Class","Consumer","Central","Saint Louis",95.66,26.7374,0
"44","First Class","Consumer","Central","San Antonio",127.869,-9.1335,0.3
"45","First Class","Consumer","Central","The Colony",82.408,12.2392,0.4
"46","First Class","Consumer","Central","Wichita",224.75,62.93,0
"47","First Class","Consumer","East","Akron",221.024,-55.256,0.2
"48","First Class","Consumer","East","Andover",435.85,124.1886,0
"49","First Class","Consumer","East","Baltimore",1257.65,340.6266,0
"50","First Class","Consumer","East","Bethlehem",1556.694,-990.543,1.4
"51","First Class","Consumer","East","Buffalo",63.882,10.647,0.1
"52","First Class","Consumer","East","Cincinnati",88.415,-11.6204,2
"53","First Class","Consumer","East","Cleveland",56.056,10.6557,0.4
"54","First Class","Consumer","East","Clifton",336.82,98.5884,0
"55","First Class","Consumer","East","Clinton",596.861,-26.9833,0.3
"56","First Class","Consumer","East","Columbus",1714.396,186.5874,1.5
"57","First Class","Consumer","East","Concord",136.74,43.818,0
"58","First Class","Consumer","East","Dover",54.28,21.46,0
"59","First Class","Consumer","East","Dublin",817.842,-392.9032,3.5
"60","First Class","Consumer","East","East Orange",345.47,160.9451,0
"61","First Class","Consumer","East","Everett",1936.21,327.2104,0
"62","First Class","Consumer","East","Fairfield",1134.002,75.2616,0.8
"63","First Class","Consumer","East","Lakewood",49.378,-3.1946,0.9
"64","First Class","Consumer","East","Lancaster",600.21,48.9806,1.3
"65","First Class","Consumer","East","Lawrence",37.68,16.956,0
"66","First Class","Consumer","East","Lowell",2313.03,669.5049,0
"67","First Class","Consumer","East","Manchester",5.76,2.8224,0
"68","First Class","Consumer","East","Meriden",21.4,6.206,0
"69","First Class","Consumer","East","New York City",20192.594,5004.3392,4
"70","First Class","Consumer","East","Newark",5240.399,-2216.9527,3.4
"71","First Class","Consumer","East","Niagara Falls",164.85,47.8065,0
"72","First Class","Consumer","East","Oceanside",1165.328,46.3184,0.5
"73","First Class","Consumer","East","Parma",191.34,-4.9704,0.5
"74","First Class","Consumer","East","Perth Amboy",436.96,160.6086,0
"75","First Class","Consumer","East","Philadelphia",12104.55,-286.0852,18.8
"76","First Class","Consumer","East","Providence",126.38,43.9352,0
"77","First Class","Consumer","East","Rochester",1043.854,279.0206,0.2
"78","First Class","Consumer","East","Toledo",906.733,144.8995,3.5
"79","First Class","Consumer","East","Troy",686.194,113.1672,0.5
"80","First Class","Consumer","East","Waterbury",253.03,43.0947,0
"81","First Class","Consumer","East","Watertown",90.61,13.9047,0
"82","First Class","Consumer","East","Wilmington",879.48,280.8252,0
"83","First Class","Consumer","South","Arlington",419.52,99.2361,0
"84","First Class","Consumer","South","Atlanta",1366.04,182.998,0
"85","First Class","Consumer","South","Boca Raton",58.4,-24.316,0.9
"86","First Class","Consumer","South","Bowling Green",71,27.69,0
"87","First Class","Consumer","South","Burlington",52.696,4.4919,0.4
"88","First Class","Consumer","South","Charlotte",284.632,18.4231,0.4
"89","First Class","Consumer","South","Charlottesville",34.65,10.395,0
"90","First Class","Consumer","South","Chesapeake",197.72,55.3616,0
"91","First Class","Consumer","South","Columbus",433.9,116.6041,0
"92","First Class","Consumer","South","Concord",23.12,2.1006,0.4
"93","First Class","Consumer","South","Coral Springs",318.96,-14.22,0.4
"94","First Class","Consumer","South","Delray Beach",9.912,3.2214,0.2
"95","First Class","Consumer","South","Durham",440.144,30.7824,1.1
"96","First Class","Consumer","South","Fayetteville",1372.046,411.8608,0.6
"97","First Class","Consumer","South","Florence",59.48,14.7604,0
"98","First Class","Consumer","South","Fort Lauderdale",19.104,5.7312,0.2
"99","First Class","Consumer","South","Goldsboro",34.944,3.0576,0.2
"100","First Class","Consumer","South","Hialeah",173.985,-3.4041,1.2
"101","First Class","Consumer","South","Hollywood",243.6,46.819,0.4
"102","First Class","Consumer","South","Jackson",514.03,179.3924,0
"103","First Class","Consumer","South","Jacksonville",602.43,92.4205,2.5
"104","First Class","Consumer","South","Jonesboro",59.98,17.994,0
"105","First Class","Consumer","South","Knoxville",88.92,14.4495,0.2
"106","First Class","Consumer","South","Lafayette",3534.19,457.0099,0
"107","First Class","Consumer","South","Little Rock",678.87,280.8057,0
"108","First Class","Consumer","South","Louisville",1428.65,401.2194,0
"109","First Class","Consumer","South","Memphis",416.474,-151.5908,1.5
"110","First Class","Consumer","South","Miami",303.28,104.5699,0.8
"111","First Class","Consumer","South","Mobile",8.96,2.7776,0
"112","First Class","Consumer","South","Monroe",124.676,46.3062,0.2
"113","First Class","Consumer","South","Murray",191.82,74.8098,0
"114","First Class","Consumer","South","Nashville",15.552,5.4432,0.2
"115","First Class","Consumer","South","Pensacola",2.214,-1.476,0.7
"116","First Class","Consumer","South","Richmond",234.24,67.5304,0
"117","First Class","Consumer","South","Roswell",149.95,65.978,0
"118","First Class","Consumer","South","Saint Petersburg",31.984,1.999,0.2
"119","First Class","Consumer","South","Salem",701.96,168.4704,0
"120","First Class","Consumer","South","Springfield",1258.66,256.7062,0
"121","First Class","Consumer","South","Suffolk",196.62,96.3438,0
"122","First Class","Consumer","South","Tallahassee",695.7,-27.828,0.5
"123","First Class","Consumer","South","Tampa",11.672,-0.7295,0.2
"124","First Class","Consumer","South","Virginia Beach",1337.84,228.0812,0
"125","First Class","Consumer","South","Waynesboro",2298.9,397.9448,0
"126","First Class","Consumer","South","Wilmington",14.098,0.8896,0.9
"127","First Class","Consumer","South","Woodstock",286.65,104.8788,0
"128","First Class","Consumer","West","Aurora",125.944,15.743,0.2
"129","First Class","Consumer","West","Bakersfield",304.046,74.0986,0.4
"130","First Class","Consumer","West","Boise",89.97,37.7874,0
"131","First Class","Consumer","West","Colorado Springs",11.328,2.5488,0.2
"132","First Class","Consumer","West","Commerce City",146.352,-32.9292,0.2
"133","First Class","Consumer","West","Denver",310.118,-130.5137,0.9
"134","First Class","Consumer","West","Draper",151.72,58.0272,0.2
"135","First Class","Consumer","West","Edmonds",2112.422,455.758,0.2
"136","First Class","Consumer","West","Encinitas",305.496,9.8214,0.4
"137","First Class","Consumer","West","Fresno",1069.132,188.8396,0.6
"138","First Class","Consumer","West","Greeley",30.352,10.3614,0.4
"139","First Class","Consumer","West","Hillsboro",64.072,-1.6072,0.4
"140","First Class","Consumer","West","Inglewood",218.81,52.9647,0
"141","First Class","Consumer","West","Lake Forest",597.86,171.7944,0
"142","First Class","Consumer","West","Lancaster",10.9,3.597,0
"143","First Class","Consumer","West","Longmont",749.488,41.0352,0.4
"144","First Class","Consumer","West","Los Angeles",12634.5,2534.4464,2.95
"145","First Class","Consumer","West","Louisville",317.535,-96.3077,1.8
"146","First Class","Consumer","West","Mesa",945.165,-169.9458,0.7
"147","First Class","Consumer","West","Mission Viejo",290.666,3.4196,0.15
"148","First Class","Consumer","West","Moreno Valley",87.72,22.0488,0
"149","First Class","Consumer","West","Oakland",1529.61,207.5365,0.6
"150","First Class","Consumer","West","Pasadena",875.248,-20.5698,0.6
"151","First Class","Consumer","West","Phoenix",56.817,-41.5308,1.4
"152","First Class","Consumer","West","Pocatello",814.526,66.0072,0.2
"153","First Class","Consumer","West","Pomona",99.98,34.993,0
"154","First Class","Consumer","West","Portland",1108.805,-165.838,2
"155","First Class","Consumer","West","Redondo Beach",112.12,51.848,0.2
"156","First Class","Consumer","West","Riverside",3.984,1.3944,0.2
"157","First Class","Consumer","West","Roseville",8.32,2.808,0.2
"158","First Class","Consumer","West","Salem",7.88,1.773,0.2
"159","First Class","Consumer","West","San Diego",818.412,131.0294,0.4
"160","First Class","Consumer","West","San Francisco",7444.781,1059.1722,2.95
"161","First Class","Consumer","West","San Jose",578.914,165.962,0.6
"162","First Class","Consumer","West","San Mateo",75.18,35.3346,0
"163","First Class","Consumer","West","Santa Clara",79.792,22.7292,0.2
"164","First Class","Consumer","West","Santa Maria",115.44,30.0144,0
"165","First Class","Consumer","West","Scottsdale",390.075,-289.0404,2.7
"166","First Class","Consumer","West","Seattle",17746.1,7456.103,1.4
"167","First Class","Consumer","West","Temecula",808.666,101.8869,0.4
"168","First Class","Consumer","West","Thousand Oaks",15.984,1.1988,0.2
"169","First Class","Consumer","West","Tucson",596.664,69.8868,1
"170","First Class","Consumer","West","Westminster",31.968,2.3976,0.2
"171","First Class","Corporate","Central","Arlington",697.49,-79.4976,3.1
"172","First Class","Corporate","Central","Aurora",7.992,2.5974,0.2
"173","First Class","Corporate","Central","Bedford",205.296,3.8082,1.4
"174","First Class","Corporate","Central","Bloomington",54.336,5.4336,0.2
"175","First Class","Corporate","Central","Brownsville",247.784,24.4867,0.4
"176","First Class","Corporate","Central","Chicago",1106.568,-316.8577,4.2
"177","First Class","Corporate","Central","Columbus",34.02,16.6698,0
"178","First Class","Corporate","Central","Conroe",111.672,6.9795,0.2
"179","First Class","Corporate","Central","Coppell",95.84,34.742,0.2
"180","First Class","Corporate","Central","Dallas",1394.513,101.7058,2.3
"181","First Class","Corporate","Central","Decatur",101.728,7.6296,0.4
"182","First Class","Corporate","Central","Deer Park",6.924,-10.386,0.8
"183","First Class","Corporate","Central","Detroit",3270.962,701.094,0.1
"184","First Class","Corporate","Central","Eagan",63.44,27.9776,0
"185","First Class","Corporate","Central","Fremont",79.96,22.3888,0
"186","First Class","Corporate","Central","Haltom City",262.72,49.8082,0.6
"187","First Class","Corporate","Central","Houston",2648.3404,98.9604,6.12
"188","First Class","Corporate","Central","Huntsville",569.902,14.5152,0.5
"189","First Class","Corporate","Central","Indianapolis",1350.42,79.1172,0
"190","First Class","Corporate","Central","Lincoln Park",167.292,29.7408,0.1
"191","First Class","Corporate","Central","Lubbock",9.248,3.3524,0.2
"192","First Class","Corporate","Central","Milwaukee",242.51,100.1833,0
"193","First Class","Corporate","Central","Odessa",606.214,-40.8338,0.5
"194","First Class","Corporate","Central","Omaha",68.71,21.5198,0
"195","First Class","Corporate","Central","Overland Park",186.95,85.298,0
"196","First Class","Corporate","Central","Palatine",116.312,23.2624,0.2
"197","First Class","Corporate","Central","Pasadena",1205.436,21.9756,0.7
"198","First Class","Corporate","Central","Quincy",177.176,45.957,1.4
"199","First Class","Corporate","Central","Rapid City",152.64,44.7684,0
"200","First Class","Corporate","Central","Richardson",1288.464,-24.4893,0.8
"201","First Class","Corporate","Central","Richmond",22.48,10.3408,0
"202","First Class","Corporate","Central","Rockford",442.372,-729.9138,0.8
"203","First Class","Corporate","Central","San Antonio",1223.292,-10.7817,0.9
"204","First Class","Corporate","Central","Skokie",23.888,-15.52,1.8
"205","First Class","Corporate","Central","Tinley Park",22.288,-8.9152,0.6
"206","First Class","Corporate","Central","Tulsa",69.93,0.6993,0
"207","First Class","Corporate","East","Akron",85.056,28.7064,0.2
"208","First Class","Corporate","East","Altoona",20.451,-1.1835,0.9
"209","First Class","Corporate","East","Baltimore",559.17,116.6463,0
"210","First Class","Corporate","East","Bristol",238.11,85.6753,0
"211","First Class","Corporate","East","Chester",199.491,-49.2546,0.9
"212","First Class","Corporate","East","Cincinnati",858.42,57.711,1.1
"213","First Class","Corporate","East","Columbus",543.5,-68.9273,2.4
"214","First Class","Corporate","East","Cranston",1212.74,-43.0036,0.6
"215","First Class","Corporate","East","Franklin",81.94,20.485,0
"216","First Class","Corporate","East","Hempstead",7.98,3.9102,0
"217","First Class","Corporate","East","Lakewood",92.768,29.8026,0.2
"218","First Class","Corporate","East","Lawrence",14.88,3.72,0
"219","First Class","Corporate","East","Long Beach",1448.82,209.274,0.1
"220","First Class","Corporate","East","Mason",94.264,-4.2352,1.6
"221","First Class","Corporate","East","Middletown",48.16,22.1536,0
"222","First Class","Corporate","East","Milford",694.67,201.7916,0
"223","First Class","Corporate","East","New York City",6362.542,2075.3386,1.3
"224","First Class","Corporate","East","Newark",188.94,30.8595,0
"225","First Class","Corporate","East","Norwich",11.34,5.5566,0
"226","First Class","Corporate","East","Oceanside",25.952,10.8096,0.2
"227","First Class","Corporate","East","Paterson",6.54,2.1582,0
"228","First Class","Corporate","East","Philadelphia",2314.745,140.416,6.3
"229","First Class","Corporate","East","Plainfield",27.21,10.5825,0
"230","First Class","Corporate","East","Providence",69.98,4.8986,0
"231","First Class","Corporate","East","Rochester",167.31,80.3088,0
"232","First Class","Corporate","East","Springfield",807.519,-931.6475,2.5
"233","First Class","Corporate","East","Warwick",111.96,54.8604,0
"234","First Class","Corporate","East","Watertown",1358.484,400.0254,0.3
"235","First Class","Corporate","East","Wilmington",1136.896,260.1058,0.3
"236","First Class","Corporate","East","Woonsocket",91.14,44.6628,0
"237","First Class","Corporate","South","Arlington",135.17,44.5298,0
"238","First Class","Corporate","South","Athens",12.78,5.2398,0
"239","First Class","Corporate","South","Atlanta",9.96,4.8804,0
"240","First Class","Corporate","South","Burlington",9.552,1.5522,0.2
"241","First Class","Corporate","South","Chesapeake",321.56,91.2541,0
"242","First Class","Corporate","South","Columbus",668.54,178.3744,0
"243","First Class","Corporate","South","Decatur",224.9,64.2384,0
"244","First Class","Corporate","South","Florence",127.95,21.7515,0
"245","First Class","Corporate","South","Greensboro",1948.404,-64.9653,0.8
"246","First Class","Corporate","South","Hoover",503.22,11.1036,0
"247","First Class","Corporate","South","Jacksonville",1397.966,8.3332,3.3
"248","First Class","Corporate","South","Knoxville",426.942,-172.4535,0.6
"249","First Class","Corporate","South","Lakeland",3756.506,-60.9529,4.5
"250","First Class","Corporate","South","Louisville",234.2,63.3048,0
"251","First Class","Corporate","South","Macon",116.85,43.0551,0
"252","First Class","Corporate","South","Miami",830.538,77.6994,1.1
"253","First Class","Corporate","South","Mobile",3236.41,1556.6952,0
"254","First Class","Corporate","South","Monroe",87.28,41.0216,0
"255","First Class","Corporate","South","Murfreesboro",14.352,5.2026,0.2
"256","First Class","Corporate","South","Nashville",97.424,10.9602,0.2
"257","First Class","Corporate","South","Palm Coast",242.546,14.4922,1.1
"258","First Class","Corporate","South","Raleigh",1263.5,172.793,1.7
"259","First Class","Corporate","South","Richmond",13.76,6.3296,0
"260","First Class","Corporate","South","Sandy Springs",524.85,166.2205,0
"261","First Class","Corporate","South","Smyrna",670.001,59.0374,1.1
"262","First Class","Corporate","South","Springfield",2672.08,820.605,0
"263","First Class","Corporate","South","Suffolk",1242.47,230.1228,0
"264","First Class","Corporate","South","Tampa",2.896,0.9774,0.2
"265","First Class","Corporate","West","Anaheim",1336.352,272.583,0.4
"266","First Class","Corporate","West","Antioch",19.44,9.3312,0
"267","First Class","Corporate","West","Aurora",572.296,69.3463,1
"268","First Class","Corporate","West","Colorado Springs",855.272,20.8692,1.5
"269","First Class","Corporate","West","Denver",227.658,-180.2625,1.1
"270","First Class","Corporate","West","Fairfield",1435.96,106.9836,0.2
"271","First Class","Corporate","West","Farmington",159.99,54.3966,0
"272","First Class","Corporate","West","Helena",39.9,10.374,0
"273","First Class","Corporate","West","Henderson",1888.058,393.044,0.2
"274","First Class","Corporate","West","Inglewood",14.8,5.612,0
"275","First Class","Corporate","West","La Quinta",46.32,18.0648,0
"276","First Class","Corporate","West","Long Beach",340.704,-34.0704,0.2
"277","First Class","Corporate","West","Los Angeles",9281.7845,1251.4895,3.3
"278","First Class","Corporate","West","Loveland",16.752,6.0726,0.4
"279","First Class","Corporate","West","North Las Vegas",58.58,19.3314,0
"280","First Class","Corporate","West","Phoenix",243.195,-345.8067,1.3
"281","First Class","Corporate","West","Pueblo",3.408,0.8946,0.2
"282","First Class","Corporate","West","Redmond",88.074,-58.716,0.7
"283","First Class","Corporate","West","Riverside",602.43,185.3866,0
"284","First Class","Corporate","West","San Diego",2239.254,228.8149,0.8
"285","First Class","Corporate","West","San Francisco",14119.286,2440.8416,2.8
"286","First Class","Corporate","West","San Jose",244.78,95.839,0
"287","First Class","Corporate","West","Santa Barbara",393.186,-39.4164,0.2
"288","First Class","Corporate","West","Seattle",9068.81,3214.0997,0.8
"289","First Class","Corporate","West","Spokane",837.6,62.82,0.2
"290","First Class","Corporate","West","Springfield",771.928,93.2492,1.2
"291","First Class","Corporate","West","Stockton",273.92,99.296,0.2
"292","First Class","Corporate","West","Sunnyvale",215.976,-2.6997,0.2
"293","First Class","Corporate","West","Tempe",598.144,133.7632,1.4
"294","First Class","Corporate","West","Tucson",1855.918,-218.4852,2.2
"295","First Class","Home Office","Central","Ann Arbor",152.8,76.4,0
"296","First Class","Home Office","Central","Appleton",21.56,10.3488,0
"297","First Class","Home Office","Central","Aurora",796.425,-525.6405,0.5
"298","First Class","Home Office","Central","Broken Arrow",821.94,213.7044,0
"299","First Class","Home Office","Central","Brownsville",714.966,192.3929,0.7
"300","First Class","Home Office","Central","Chicago",1581.028,-86.5813,2
"301","First Class","Home Office","Central","Columbus",40.88,10.6288,0
"302","First Class","Home Office","Central","Dallas",412.964,31.6312,0.5
"303","First Class","Home Office","Central","Detroit",664.28,171.4416,0
"304","First Class","Home Office","Central","Franklin",3.6,1.728,0
"305","First Class","Home Office","Central","Garland",8.544,-7.476,0.6
"306","First Class","Home Office","Central","Greenwood",240.15,115.5072,0
"307","First Class","Home Office","Central","Houston",2091.231,-106.0618,5.94
"308","First Class","Home Office","Central","Kenosha",399.95,143.982,0
"309","First Class","Home Office","Central","Lakeville",155.88,38.97,0
"310","First Class","Home Office","Central","Maple Grove",146.89,53.8191,0
"311","First Class","Home Office","Central","Midland",3999.702,1947.981,0.1
"312","First Class","Home Office","Central","Minneapolis",15.28,7.4872,0
"313","First Class","Home Office","Central","Omaha",563.94,112.788,0
"314","First Class","Home Office","Central","Peoria",359.058,-35.9058,0.3
"315","First Class","Home Office","Central","Springfield",8.76,4.2048,0
"316","First Class","Home Office","East","Akron",17.184,6.2292,0.2
"317","First Class","Home Office","East","Chester",570.492,113.4179,2.4
"318","First Class","Home Office","East","Cleveland",1245.394,-30.8251,1.9
"319","First Class","Home Office","East","Franklin",177.17,50.7368,0
"320","First Class","Home Office","East","Lakewood",76.776,-53.7432,0.7
"321","First Class","Home Office","East","Lancaster",91.488,15.5892,0.4
"322","First Class","Home Office","East","Marion",7.712,1.7352,0.2
"323","First Class","Home Office","East","Meriden",11.12,2.8912,0
"324","First Class","Home Office","East","New Rochelle",69.99,30.0957,0
"325","First Class","Home Office","East","New York City",28155.502,8441.1738,1.6
"326","First Class","Home Office","East","Newark",807.54,271.4153,0
"327","First Class","Home Office","East","Philadelphia",2131.62,-894.1289,3.7
"328","First Class","Home Office","East","Providence",2545.12,757.561,0
"329","First Class","Home Office","East","Shelton",73.33,21.4053,0
"330","First Class","Home Office","East","Troy",1463.685,-137.6161,2.7
"331","First Class","Home Office","South","Arlington",10.44,4.8024,0
"332","First Class","Home Office","South","Columbus",893.58,230.051,0
"333","First Class","Home Office","South","Harrisonburg",2884.37,623.1933,0
"334","First Class","Home Office","South","Hialeah",625.512,-310.3075,1.3
"335","First Class","Home Office","South","Knoxville",2437.672,-1034.8361,2.6
"336","First Class","Home Office","South","Miami",3.744,-2.6208,0.7
"337","First Class","Home Office","South","Nashville",109.968,12.048,0.4
"338","First Class","Home Office","South","Richmond",594.72,73.594,0
"339","First Class","Home Office","South","Springfield",177.78,19.0695,0
"340","First Class","Home Office","West","Apple Valley",56.136,21.3324,0.2
"341","First Class","Home Office","West","Aurora",535.264,-52.2346,1.7
"342","First Class","Home Office","West","Colorado Springs",40.635,-32.508,0.7
"343","First Class","Home Office","West","Denver",63.824,13.5626,0.2
"344","First Class","Home Office","West","Fort Collins",112.68,15.0354,0.4
"345","First Class","Home Office","West","Lehi",1499.95,449.985,0
"346","First Class","Home Office","West","Long Beach",80.28,36.9288,0
"347","First Class","Home Office","West","Los Angeles",14854.555,2100.4887,2.3
"348","First Class","Home Office","West","Mesa",85.92,28.7016,0.4
"349","First Class","Home Office","West","Murray",48.4,23.232,0
"350","First Class","Home Office","West","North Las Vegas",14.56,5.5328,0
"351","First Class","Home Office","West","Oakland",454.272,-73.8192,0.2
"352","First Class","Home Office","West","Peoria",668.744,2.87819999999999,1
"353","First Class","Home Office","West","Phoenix",7.857,-6.0237,0.7
"354","First Class","Home Office","West","Pico Rivera",145.9,62.737,0
"355","First Class","Home Office","West","Portland",403.92,25.245,0.2
"356","First Class","Home Office","West","Pueblo",801.55,-961.5321,2.3
"357","First Class","Home Office","West","Salem",612.642,-298.1464,2.4
"358","First Class","Home Office","West","San Diego",3356.254,208.3976,0.8
"359","First Class","Home Office","West","San Francisco",1776.988,494.0445,1
"360","First Class","Home Office","West","San Jose",13.848,5.193,0.2
"361","First Class","Home Office","West","Santa Ana",56.3,15.764,0
"362","First Class","Home Office","West","Scottsdale",361.104,33.0048,0.4
"363","First Class","Home Office","West","Seattle",1967.668,431.2438,1.6
"364","Same Day","Consumer","Central","Amarillo",2825.174,-277.1688,0.9
"365","Same Day","Consumer","Central","Aurora",608.552,-77.3036,1.1
"366","Same Day","Consumer","Central","Austin",106.104,23.9727,0.4
"367","Same Day","Consumer","Central","Bolingbrook",59.848,-4.898,1.4
"368","Same Day","Consumer","Central","Chicago",363.776,30.5631,1.2
"369","Same Day","Consumer","Central","Dallas",483.294,-158.2878,2.5
"370","Same Day","Consumer","Central","Des Moines",6.48,3.1104,0
"371","Same Day","Consumer","Central","Detroit",1731.87,387.4167,0
"372","Same Day","Consumer","Central","El Paso",36.544,11.8768,0.2
"373","Same Day","Consumer","Central","Fort Worth",477.142,-87.1517,0.9
"374","Same Day","Consumer","Central","Greenwood",1424.9,356.225,0
"375","Same Day","Consumer","Central","Houston",1491.878,-21.1556,6.2
"376","Same Day","Consumer","Central","Lansing",1273.606,326.2746,0.1
"377","Same Day","Consumer","Central","Laredo",11.84,4.44,0.2
"378","Same Day","Consumer","Central","Lawton",582.07,78.0919,0
"379","Same Day","Consumer","Central","Lubbock",25.16,-11.322,0.6
"380","Same Day","Consumer","Central","Madison",10.07,4.5338,0
"381","Same Day","Consumer","Central","Milwaukee",25.06,11.7782,0
"382","Same Day","Consumer","Central","Mount Pleasant",17.14,6.1704,0
"383","Same Day","Consumer","Central","Norman",1287.45,244.6155,0
"384","Same Day","Consumer","Central","Oklahoma City",38.16,19.08,0
"385","Same Day","Consumer","Central","Portage",16.28,6.512,0
"386","Same Day","Consumer","Central","Rochester",375.71,131.8881,0
"387","Same Day","Consumer","Central","Saint Charles",248.82,84.4272,0
"388","Same Day","Consumer","Central","San Antonio",49.632,4.9632,0.2
"389","Same Day","Consumer","Central","Skokie",457.176,-299.6526,1.6
"390","Same Day","Consumer","Central","The Colony",59.752,19.4194,0.2
"391","Same Day","Consumer","Central","Tulsa",28.85,14.425,0
"392","Same Day","Consumer","East","Cincinnati",79.384,29.769,0.2
"393","Same Day","Consumer","East","Cleveland",1110.344,104.2335,1
"394","Same Day","Consumer","East","Columbia",2073.35,640.1885,0
"395","Same Day","Consumer","East","Columbus",772.071,-20.4912,5.4
"396","Same Day","Consumer","East","Fairfield",619.447,113.2907,0.3
"397","Same Day","Consumer","East","Freeport",122.622,16.458,0.1
"398","Same Day","Consumer","East","Long Beach",1214.85,352.3065,0
"399","Same Day","Consumer","East","Marion",594.002,-108.6522,0.9
"400","Same Day","Consumer","East","Middletown",27.46,9.8856,0
"401","Same Day","Consumer","East","Milford",67.32,29.3724,0
"402","Same Day","Consumer","East","New York City",12650.015,2723.3366,2.3
"403","Same Day","Consumer","East","Newark",162.52,78.335,0
"404","Same Day","Consumer","East","Orange",70.95,18.447,0
"405","Same Day","Consumer","East","Philadelphia",65.55,20.0973,2
"406","Same Day","Consumer","East","Springfield",53.344,-27.0848,0.9
"407","Same Day","Consumer","East","Utica",534.57,145.1904,0.4
"408","Same Day","Consumer","East","Wheeling",673.344,-76.9536,0.3
"409","Same Day","Consumer","South","Apopka",193.152,34.6984,0.6
"410","Same Day","Consumer","South","Asheville",1363.96,85.2475,0.2
"411","Same Day","Consumer","South","Athens",14.73,7.2177,0
"412","Same Day","Consumer","South","Atlanta",195.64,91.9508,0
"413","Same Day","Consumer","South","Boynton Beach",314.393,25.1082,1.3
"414","Same Day","Consumer","South","Charlotte",841.301,62.6851,1.3
"415","Same Day","Consumer","South","Columbia",520.964,46.4718,0.9
"416","Same Day","Consumer","South","Fayetteville",10.272,1.1556,0.2
"417","Same Day","Consumer","South","Hampton",149.9,40.473,0
"418","Same Day","Consumer","South","Hickory",36.192,2.7144,0.2
"419","Same Day","Consumer","South","Homestead",85.224,7.4571,0.2
"420","Same Day","Consumer","South","Huntsville",29,7.25,0
"421","Same Day","Consumer","South","Jacksonville",925.112,74.5601,1.4
"422","Same Day","Consumer","South","Kenner",89.32,19.7976,0
"423","Same Day","Consumer","South","Lakeland",78.456,-9.9809,0.6
"424","Same Day","Consumer","South","Louisville",10.74,5.2626,0
"425","Same Day","Consumer","South","Miami",239.24,23.924,0.2
"426","Same Day","Consumer","South","Plantation",598.352,55.747,0.4
"427","Same Day","Consumer","South","Raleigh",863.928,86.3928,0.2
"428","Same Day","Consumer","South","Rock Hill",11.85,3.792,0
"429","Same Day","Consumer","South","Springfield",107.83,24.6018,0
